id_artista,nombre,genero_musical,pais,cache_eur,email_manager,telefono
ART-0033,Tierra Firme,regueton,ITALIA,131825,tierra.firme@yahoo.es,631-774-346
ART-0047,Latido,RnB,Cuba,"274,311",latido@hotmail.com,672 498 004
ART-0010,Ritmo Salvaje,electronica,US,259.744,,680 048 665
ART-0101,Los Descalzos,folk,Peru,284216,los.descalzos@management.com,+34 637546086
ART-0062,Nova Express,folk,USA,126998€,nova.express@management.com,0034692850100
ART-0039,Bajo Presión,Kunbia,RD,66339,bajo.presion@yahoo.es,0034617084279
ART-0108,Granito,folk,Rep. Dominicana,211563,granito@gmail.com,619 909 029
ART-0071,El Circo Eléctrico,metal,R. Dominicana,239043€,-,619997018
ART-0214,Ecos  del  Sur,Techno,peru,211.325,ecos.del.sur@hotmail.com,686282
ART-0043,La Tribu,Rock,ESPAÑA,129368,la.tribu@musica.es,+34 626 096 655
ART-0017,Fuego Lento,Reggaeton,portugal,116457€,notengo@email,689788
ART-0038,Callejón Sin Salida,pop,FRANCIA,100656,callejon.sin.salida@management.com,+34644318698
ART-0127,Oropel,Jaz,R. Dominicana,151511,N/A,+34 699176303
ART-0137,Yesca,r&b,CHILE,201211€,yesca@outlook.com,686057
ART-0078,Polvo de Estrella,rnb, España,107723,polvo.de.estrella@hotmail.com,
ART-0181,Quintaesencia,Techno,peru,77795,quintaesencia@yahoo.es,0034664300930
ART-0224,CÓDIGO ROJO,Techno,españa,194575,codigo.rojo@hotmail.com,+34605354599
ART-0141,Centella,R&B,BRASIL,246.948,centella@gmail.com,697607800999
ART-0179,Ónix,FLAMENCO,peru,139.601,onix@hotmail.com,639945150
ART-0044,Despertar,Folk,France,128.918,despertar@management.com,693403697999
ART-0134,Vendaval,techno,Brazil,277.054,sin email,692-992-167
ART-0063,Los Pioneros,Hip-Hop,ITALIA,"194,472",los.pioneros@musica.es,636361787
ART-0182,Rocío,reggaeton,Rep. Dominicana,283369,rocio@musica.es,+34 632542167
ART-0176,Laberinto,Metall,Espana,252893,laberinto@management.com,676 849 080
ART-0106,Ébano,rock ,Colombia,140129,correo sin arroba.com,668 885 632
ART-0075,Estática,salsa,FRANCIA,258805,estatica@outlook.com,+34 644 265 498
ART-0004,Café Quemado,Pop,méxico,200191,sin email,650 806 024
ART-0227, Lux,FLAMENCO,Reino Unido,181944,lux@musica.es,0034651401477
ART-0204,Oleaje,Kunbia,ITALIA,"224,976",oleaje@gmail.com,620027648
ART-0172,Hipnosis,jazz,CUBA,178778,hipnosis@yahoo.es,+34 606080513
ART-0196,Gaviota,flamenco,United Kingdom,162569€,gaviota@outlook.com,694 004 067
ART-0091,Espiral,Cumbia,ESPAÑA,244926,espiral@management.com,+34 640 151 803
ART-0164,Zodíaco,CUMBIA,ARGENTINA,219411,zodiaco@gmail.com,+34 691 937 914
ART-0007,Sombra Latina,electronica,reino unido,199943,sombra.latina@management.com,+34 630742311
ART-0166,Bermellón,Metal,RD,182.073,bermellon@hotmail.com,0034660343755
ART-0105,zafiro,Hip Hop,Rep. Dominicana,76858€,zafiro@musica.es,+34631934639
ART-0132,Titanio,Indie,ITALIA,173216,titanio@management.com,+34602446861
ART-0160,Vértigo,cumbia,Estados Unidos,181624,vertigo@musica.es,607 437 386
ART-0143,  Enigma,Rock,ITALIA,271205,enigma@management.com,625 140 847
ART-0115,Brújula,electronica,CHILE,162996,brujula@yahoo.es,+34 699451183
ART-0226,ecos del sur,R & B,peru,211.325,correo sin arroba.com,686282
ART-0193,Duende,R&B,ITALIA,115510,duende@management.com,610 482 769
ART-0023,Silencio Roto,ELECTRONICA,Argentina,156560,silencio.roto@gmail.com,678406
ART-0034,SINFONÍA URBANA,rnb,CUBA,93826,sinfonia.urbana@gmail.com,635-810-056
ART-0027,Voltio,FOLK,portugal,296170€,voltio@gmail.com,0034609233013
ART-0201,Loto,Reggaetón,Mexico,53.898,loto@outlook.com,
ART-0230,los invisibles,TECHNO,US,"284,105",-,0034612257687
ART-0114,Llamarada,Jazz,Mejico,147049,llamarada@outlook.com,+34 635896226
ART-0079,Los Satélites,Kunbia,Portugal,126.460,los.satelites@yahoo.es,615228
ART-0002,María del Mar,Roc,Espana,50123,maria.del.mar@musica.es,0034656306997
ART-0024,mala hierba,Flamenco,VENEZUELA,279463€,mala.hierba@musica.es,654 193 837
ART-0028,Eclipse Total,Jazz,CHILE,83704,eclipse.total@musica.es,689 038 526
ART-0093,Los Nocturnos,Metal,CHILE,12502,los.nocturnos@management.com,606582
ART-0082,TEMPESTAD,SKA,CUBA,267200,tempestad@gmail.com,619944
ART-0231,SÉPTIMO CIELO,Metal,R. Unido,152109€,septimo.cielo@outlook.com,+34 615 558 733
ART-0180,Pandora,METAL,ARGENTINA,257378€,pandora@yahoo.es,+34 650 961 690
ART-0202,MÁRMOL,Folk,ARGENTINA,283989,marmol@gmail.com,0034643038943
ART-0189,yacaré,Flamenko,peru,46475,yacare@gmail.com,
ART-0040,Sonido Ancestral,INDIE,italia,199781,sonido.ancestral@hotmail.com,
ART-0069,  Cenizas  ,Techno,Portugal,225830,cenizas@musica.es,610-896-797
ART-0188,Xéfiro,rock,brasil,177743,xefiro@musica.es,+34 654 423 996
ART-0019,  Estrella Polar  ,Jazz,Francia,216535,estrella.polar@management.com,0034614665841
ART-0183,  Sirocco,CUMBIA,VENEZUELA,279418,sirocco@hotmail.com,+34 618450513
ART-0064,Espejismo  ,Hip-Hop,argentina,64.258,espejismo@yahoo.es,637111151999
ART-0076,Séptimo Cielo,Metal,R. Unido,152109€,septimo.cielo@outlook.com,+34 615 558 733
ART-0159,Umbral,Indie,brasil,251958,umbral@outlook.com,660394
ART-0022,Cumbia Power,electro,FRANCIA,2130,cumbia.power@yahoo.es,674593
ART-0098,BAOBAB,JAZZ,Mejico,207870,@dominio.com,649 858 348
ART-0170,Floresta,Ppo,FRANCIA,71220€,floresta@management.com,0034675405783
ART-0150,LEVANTE,SALSA,RD,"95,611",levante@yahoo.es,657-192-331
ART-0175,Kryptonita,Jazz,ITALIA,58464,kryptonita@musica.es,0034677641510
ART-0048,El Eco,Electrónica,Kolombia,122247,el.eco@hotmail.com,+34 655804273
ART-0111,Los Errantes,Jaz,Francia,164852€,los.errantes@yahoo.es,657 965 485
ART-0097,Karma Sound,metal,Republica Dominicana,178584,karma.sound@outlook.com,653339667999
ART-0142,  Diapasón,Indy,Mexico,152048€,diapason@gmail.com,680092958999
ART-0092,Trueno,Metall,Chile,240.513,trueno@hotmail.com,677149951
ART-0059,Tormenta,SALSA,CUBA,"283,157",tormenta@outlook.com,611631697
ART-0126,Nadir,POP,United Kingdom,232844€,nadir@yahoo.es,+34 605047559
ART-0116,Cascabel,pop,BRASIL,"279,125",cascabel@outlook.com,676 181 117
ART-0070,Cascada,Reggaetón,Kolombia,"290,402",,694886005
ART-0163,Yunque,Electrónica,Italia,178009€,yunque@musica.es,677412924
ART-0008,Ecos del Sur,R & B,peru,211.325,ecos.del.sur@hotmail.com,686282
ART-0084,Órbita,Tekno,cuba,216364,correo@,687-512-508
ART-0199,Jacinto,Flamenko,Kolombia,117753,jacinto@gmail.com,633220
ART-0102,Terracota,Metal,peru,114911,terracota@hotmail.com,+34 648140388
ART-0153,Opalo,ELECTRONICA,Mexico,124729,opalo@yahoo.es,+34649790013
ART-0158,Tótem,regueton,CUBA,260009€,@dominio.com,608824561
ART-0197,  Helecho,flamenco,España ,37185€,helecho@outlook.com,+34 697 883 579
ART-0155,QUIMERA,FOLK,estados unidos,203.892,quimera@gmail.com,693144
ART-0088,Crisálida,Reggaetón,Brasil,48384,crisalida@gmail.com,+34 603885234
ART-0020,  Dani Flow,reggaeton,Argentina,282168,dani.flow@outlook.com,673 863 413
ART-0060,Acorde Final,ska,reino unido,128854€,acorde.final@musica.es,624406
ART-0112,Brisas del Norte  ,METAL,Brasil,196374,brisas.del.norte@musica.es,+34 656765623
ART-0026,  Los Caminantes  ,CUMBIA,Brazil,"165,722",los.caminantes@outlook.com,+34 609736572
ART-0014,vibra tropical,FOLK,España,59650€,vibra.tropical@yahoo.es,609289546999
ART-0089,Marejada,jazz,CUBA,30422,marejada@yahoo.es,624-166-826
ART-0191,Los Bohemios,FOLK,chile,84737,los.bohemios@musica.es,+34639599276
ART-0129,Quarzo,flamenco,italia,91470,correo@,+34654864099
ART-0021,Raíces,rock,Italia,284423,raices@gmail.com,+34 653826716
ART-0186,Vulcano  ,Ska,BRASIL,"152,764",vulcano@gmail.com,672920556999
ART-0177,Magnolia,reggaeton,ESPAÑA,232231,magnolia@hotmail.com,+34 663297813
ART-0203,NEPTUNO,HipHop,Venezuela,76109,neptuno@musica.es,698-678-498
ART-0036,Los Indomables,Reguetón,españa,102255,los.indomables@yahoo.es,+34671969657
ART-0190,Zarzamora,Indie,ARGENTINA,235218,zarzamora@yahoo.es,608 338 186
ART-0194,Efímero,rock,Republica Dominicana,"288,125",efimero@hotmail.com,0034615601471
ART-0099,Selva,cumbia,Argentina,248189,@dominio.com,694096984
ART-0085,Resaca,Folk,España ,67189,resaca@musica.es,+34 661327848
ART-0139,Los Alquimistas,Electronica,Rep. Dominicana,230361,-,0034650192261
ART-0174,Jazmín,SALSA,Brazil,157884,jazmin@musica.es,+34602232974
ART-0100,Mantra,Kunbia,Francia,62171€,mantra@gmail.com,+34 618 208 520
ART-0218,Los Satélites ,Kunbia,Portugal,126.460,@dominio.com,615228
